,tone
0,{'document_tone': {'tones': []}}
1,"{'document_tone': {'tones': [{'score': 0.831246, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
2,{'document_tone': {'tones': []}}
3,"{'document_tone': {'tones': [{'score': 0.554055, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
4,{'document_tone': {'tones': []}}
5,"{'document_tone': {'tones': [{'score': 0.881393, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
6,"{'document_tone': {'tones': [{'score': 0.921841, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Lovely view out onto the lagoon.', 'tones': [{'score': 0.820896, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Excellent view.', 'tones': [{'score': 0.881852, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
7,"{'document_tone': {'tones': [{'score': 0.921841, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Lovely view out onto the lagoon.', 'tones': [{'score': 0.820896, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Excellent view.', 'tones': [{'score': 0.881852, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
8,"{'document_tone': {'tones': [{'score': 0.587832, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
9,{'document_tone': {'tones': []}}
10,{'document_tone': {'tones': []}}
11,"{'document_tone': {'tones': [{'score': 0.799063, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
12,{'document_tone': {'tones': []}}
13,"{'document_tone': {'tones': [{'score': 0.727342, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
14,{'document_tone': {'tones': []}}
15,{'document_tone': {'tones': []}}
16,"{'document_tone': {'tones': [{'score': 0.85282, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
17,{'document_tone': {'tones': []}}
18,{'document_tone': {'tones': []}}
19,{'document_tone': {'tones': []}}
20,"{'document_tone': {'tones': [{'score': 0.611045, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
21,"{'document_tone': {'tones': [{'score': 0.925906, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
